,count,mean,std,min,25%,50%,75%,max
QUANTIDADE,58.0,106390.3275862069,321616.4078949903,1.0,25.5,1053.0,16001.75,1747776.0
VALOR,58.0,130379083.0598276,857146966.9523774,0.01,8752.0475,195236.235,3903725.04,6517799942.13
taxa_selic,58.0,0.03922183767698342,0.014735107651273411,0.007469,0.03587925,0.04394866666666665,0.0507879999999999,0.055131
indice_ipca,58.0,0.5413793103448277,1.217054898321904,-4.35,0.13,0.55,1.0075,3.16
quantidadeTED,58.0,84537.9022413793,25744.251738496318,61294.83,68698.66,77296.725,91499.0675,191703.38
valorTED,58.0,3368200.8762068963,387935.6690058352,2381021.03,3089695.6774999998,3386674.225,3667423.64,4257762.35
quantidadeBoleto,58.0,346535.8763793103,15107.259710086139,306432.32,338333.675,348848.79000000004,357961.53500000003,380679.53
valorBoleto,58.0,469483.9415517241,55335.04852295533,338584.62,428351.1975,476624.295,512361.89,566693.06
quantidadeDOC,58.0,4115.322413793104,4659.384423806603,0.0,0.0,3230.3549999999996,6166.9125,22362.97
valorDOC,58.0,3391.419310344828,3345.8994426463682,0.0,0.0,3152.865,4994.5675,13980.28
quantidadeCheque,58.0,13749.792931034483,3896.008961787672,7764.15,10244.9725,13438.695,17084.485,22020.43
valorCheque,58.0,45704.06586206897,7471.969690571166,33019.98,39306.6275,46813.415,52504.072499999995,58871.56
quantidadeTEC,58.0,468.54396551724136,366.1824182061407,0.0,0.0,617.21,693.1925,1305.51
valorTEC,58.0,1018.819827586207,787.1387773058615,0.0,0.0,1323.52,1560.1775,2757.91
quantidadePix,58.0,3264461.7703448273,2104582.8575115963,32867.36,1386176.4625000001,2956231.5999999996,5240215.0275,6975792.66
valorPix,58.0,1408539.2210344826,864247.730461165,29196.99,662077.8825,1250756.83,2114593.3225000002,3058009.49
